"Inc_ID","UOF","Date","Beat","Cad","Inc_RD","longitude","latitude","Incident_ID","Force_Type","Force_Type_Level"
7395,"13F-0537","8/2/2013",19,730,"13-039223",-122.2378488,37.7845659,7395,22,4
7396,"13F-0551","8/3/2013",5,362,"13-039350",-122.294183,37.812123,7396,22,4
7396,"13F-0551","8/3/2013",5,362,"13-039350",-122.294183,37.812123,7396,22,4
7396,"13F-0551","8/3/2013",5,362,"13-039350",-122.294183,37.812123,7396,22,4
7397,"13F-0538","8/5/2013",26,430,"13-039734",-122.2711137,37.8043637,7397,"0000",5
7397,"13F-0538","8/5/2013",26,430,"13-039734",-122.2711137,37.8043637,7397,"26-16",4
7398,"13F-0542","8/5/2013",5,806,"13-039736",-122.2344491,37.7825373,7398,22,4
7399,"13F-0540","8/5/2013",30,997,"13-039132",-122.187002,37.765718,7399,22,4
7399,"13F-0540","8/5/2013",30,997,"13-039132",-122.187002,37.765718,7399,22,4
7400,"13F-0543","8/5/2013",1,1016,"13-039780",-122.2764556,37.7965253,7400,25,4
7401,"13F-0544","8/6/2013",7,1052,"13-039969",-122.2895736,37.823149,7401,22,4
7402,"13F-0548","8/7/2013",17,516,"13-040082",-122.243948,37.7934968,7402,22,4
7403,"13F-0566","8/8/2013",30,752,"13-040299",-122.16699,37.765652,7403,22,4
7403,"13F-0566","8/8/2013",30,752,"13-040299",-122.16699,37.765652,7403,22,4
7404,"13F-0546","8/9/2013",31,906,"13-040515",-122.1833953,37.7376198,7404,22,4
7405,"13F-0547","8/10/2013",31,963,"13-040658",-122.195621,37.744244,7405,22,4
7405,"13F-0547","8/10/2013",31,963,"13-040658",-122.195621,37.744244,7405,22,4
7405,"13F-0547","8/10/2013",31,963,"13-040658",-122.195621,37.744244,7405,22,4
7405,"13F-0547","8/10/2013",31,963,"13-040658",-122.195621,37.744244,7405,22,4
7405,"13F-0547","8/10/2013",31,963,"13-040658",-122.195621,37.744244,7405,22,4
7406,"13F-0541","8/12/2013",26,8,"13-039654",-122.2007334,37.7568215,7406,16,3
7407,"13F-0575","8/12/2013",6,78,"13-040819",-122.2736666,37.8154156,7407,22,4
7408,"13F-0552","8/12/2013",22,507,"13-040930",-122.176505,37.795643,7408,22,4
7408,"13F-0552","8/12/2013",22,507,"13-040930",-122.176505,37.795643,7408,22,4
7408,"13F-0552","8/12/2013",22,507,"13-040930",-122.176505,37.795643,7408,22,4
7408,"13F-0552","8/12/2013",22,507,"13-040930",-122.176505,37.795643,7408,22,4
7409,"13F-0560","8/12/2013",34,793,"13-040970",-122.1666488,37.7550875,7409,"26-18",4
7410,"13F-0554","8/12/2013",33,876,"13-040978",-122.174407,37.7434919,7410,22,4
7411,"13F-0559","8/14/2013",34,822,"13-041377",-122.178733,37.746819,7411,22,4
7411,"13F-0559","8/14/2013",34,822,"13-041377",-122.178733,37.746819,7411,22,4
7411,"13F-0559","8/14/2013",34,822,"13-041377",-122.178733,37.746819,7411,22,4
7411,"13F-0559","8/14/2013",34,822,"13-041377",-122.178733,37.746819,7411,22,4
7411,"13F-0559","8/14/2013",34,822,"13-041377",-122.178733,37.746819,7411,22,4
7411,"13F-0559","8/14/2013",34,822,"13-041377",-122.178733,37.746819,7411,22,4
7412,"13F-0567","8/14/2013",22,938,"13-041395",-122.2114272,37.7973024,7412,22,4
7412,"13F-0567","8/14/2013",22,938,"13-041395",-122.2114272,37.7973024,7412,22,4
7413,"13F-0556","8/14/2013",31,813,"13-041406",-122.1957548,37.7483415,7413,22,4
7414,"13F-0549","8/15/2013",19,231,"13-041491",-122.251703,37.794956,7414,25,4
7415,"13F-0573","8/15/2013",30,407,"13-041535",-122.1665669,37.7646401,7415,22,4
7415,"13F-0573","8/15/2013",30,407,"13-041535",-122.1665669,37.7646401,7415,22,4
7416,"13F-0572","8/15/2013",32,437,"13-041542",-122.1552926,37.7424383,7416,22,4
7416,"13F-0572","8/15/2013",32,437,"13-041542",-122.1552926,37.7424383,7416,22,4
7417,"13F-0601","8/15/2013",30,847,"13-041598",-122.1717492,37.769127,7417,22,4
7417,"13F-0601","8/15/2013",30,847,"13-041598",-122.1717492,37.769127,7417,22,4
7417,"13F-0601","8/15/2013",30,847,"13-041598",-122.1717492,37.769127,7417,22,4
7418,"13F-0558","8/15/2013",4,1077,"13-041628",-122.2723356,37.8121334,7418,22,4
7419,"13F-0563","8/15/2013",34,951,"13-040800",-122.1772901,37.7536641,7419,22,4
7419,"13F-0563","8/15/2013",34,951,"13-040800",-122.1772901,37.7536641,7419,22,4
7420,"13F-0553","8/15/2013",21,987,"13-041607",-122.220027,37.786658,7420,22,4
7421,"13F-0565","8/16/2013",31,313,"99-999999",-122.1460756,37.7111936,7421,22,4
7422,"13F-0562","8/17/2013",25,1217,"13-041848",-122.196177,37.7875597,7422,22,4
7422,"13F-0562","8/17/2013",25,1217,"13-041848",-122.196177,37.7875597,7422,22,4
7423,"13F-0555","8/17/2013",25,858,"13-041894",-122.197762,37.793093,7423,22,4
7423,"13F-0555","8/17/2013",25,858,"13-041894",-122.197762,37.793093,7423,22,4
7423,"13F-0555","8/17/2013",25,858,"13-041894",-122.197762,37.793093,7423,22,4
7424,"13F-0570","8/18/2013",32,510,"13-042068",-122.173656,37.7419889,7424,"26-18",4
7425,"13F-0574","8/20/2013",19,111,"13-042370",-122.251703,37.794956,7425,25,4
7425,"13F-0574","8/20/2013",19,111,"13-042370",-122.251703,37.794956,7425,25,4
7426,"13F-0557","8/20/2013",22,275,"13-042411",-122.2006732,37.7938101,7426,22,4
7427,"13F-0550","8/20/2013",31,1015,"13-042534",-122.181875,37.733167,7427,11,3
7427,"13F-0550","8/20/2013",31,1015,"13-042534",-122.181875,37.733167,7427,22,4
7428,"13F-0564","8/22/2013",10,67,"99-999999",-122.285266,37.846136,7428,22,4
7429,"13F-0577","8/22/2013",35,147,"13-042773",-122.160651,37.754608,7429,22,4
7430,"13F-0568","8/22/2013",4,724,"13-042897",-122.2642871,37.8080106,7430,22,4
7431,"13F-0588","8/22/2013",19,996,"13-042926",-122.2496534,37.7920811,7431,22,4
7431,"13F-0588","8/22/2013",19,996,"13-042926",-122.2496534,37.7920811,7431,22,4
7431,"13F-0588","8/22/2013",19,996,"13-042926",-122.2496534,37.7920811,7431,22,4
7431,"13F-0588","8/22/2013",19,996,"13-042926",-122.2496534,37.7920811,7431,22,4
7432,"13F-0561","8/23/2013",33,986,"13-043160",-122.1758743,37.7483488,7432,13,2
7433,"13F-0571","8/24/2013",5,236,"13-043173",-122.2847352,37.8101837,7433,22,4
7434,"13F-0569","8/24/2013",9,1019,"13-042510",-122.25659,37.823602,7434,22,4
7434,"13F-0569","8/24/2013",9,1019,"13-042510",-122.25659,37.823602,7434,22,4
7435,"13F-0643","8/25/2013",3,192,"13-043332",-122.272851,37.8063171,7435,22,4
7435,"13F-0643","8/25/2013",3,192,"13-043332",-122.272851,37.8063171,7435,22,4
7436,"13F-0576","8/25/2013",31,689,"13-043423",-122.1639876,37.7474059,7436,22,4
7437,"13F-0642","8/27/2013",34,27,"13-043703",-122.168419,37.7472158,7437,16,3
7438,"13F-0599","8/27/2013",35,179,"13-043731",-122.140639,37.760775,7438,"26-16",4
7439,"13F-0584","8/27/2013",29,710,"13-043849",-122.1839936,37.7708836,7439,22,4
7439,"13F-0584","8/27/2013",29,710,"13-043849",-122.1839936,37.7708836,7439,22,4
7440,"13F-0587","8/27/2013",17,995,"13-043894",-122.2556999,37.7984208,7440,22,4
7440,"13F-0587","8/27/2013",17,995,"13-043894",-122.2556999,37.7984208,7440,22,4
7441,"13F-0600","8/28/2013",31,482,"13-043995",-122.190736,37.729791,7441,22,4
7441,"13F-0600","8/28/2013",31,482,"13-043995",-122.190736,37.729791,7441,22,4
7441,"13F-0600","8/28/2013",31,482,"13-043995",-122.190736,37.729791,7441,22,4
7441,"13F-0600","8/28/2013",31,482,"13-043995",-122.190736,37.729791,7441,22,4
7442,"13F-0578","8/29/2013",18,840,"13-044219",-122.235715,37.791505,7442,22,4
7442,"13F-0578","8/29/2013",18,840,"13-044219",-122.235715,37.791505,7442,22,4
7443,"13F-0607","8/29/2013",34,1235,"13-044276",-122.1760317,37.7563394,7443,22,4
7443,"13F-0607","8/29/2013",34,1235,"13-044276",-122.1760317,37.7563394,7443,22,4
7443,"13F-0607","8/29/2013",34,1235,"13-044276",-122.1760317,37.7563394,7443,22,4
7444,"13F-0583","8/30/2013",27,580,"13-044386",-122.2115823,37.7710241,7444,22,4
7444,"13F-0583","8/30/2013",27,580,"13-044386",-122.2115823,37.7710241,7444,22,4
7444,"13F-0583","8/30/2013",27,580,"13-044386",-122.2115823,37.7710241,7444,22,4
7445,"13F-0594","8/30/2013",33,710,"13-044431",-122.177553,37.742326,7445,22,4
7446,"13F-0580","8/30/2013",21,1080,"13-044477",-122.204659,37.791683,7446,22,4
7446,"13F-0580","8/30/2013",21,1080,"13-044477",-122.204659,37.791683,7446,22,4
7447,"13F-0579","8/30/2013",24,1210,"13-044500",-122.2131375,37.7863564,7447,25,4
7448,"13F-0586","8/31/2013",34,803,"13-044511",-122.1778529,37.7544336,7448,22,4
7448,"13F-0586","8/31/2013",34,803,"13-044511",-122.1778529,37.7544336,7448,22,4
7448,"13F-0586","8/31/2013",34,803,"13-044511",-122.1778529,37.7544336,7448,22,4
7449,"13F-0585","8/31/2013",29,847,"13-044622",-122.1797143,37.7739524,7449,22,4
7449,"13F-0585","8/31/2013",29,847,"13-044622",-122.1797143,37.7739524,7449,22,4
7450,"13F-0593","9/1/2013",21,937,"13-044632",-122.2095299,37.7976845,7450,22,4
